shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20177,39.817982,-86.134571,340004
20177,39.817994,-86.134571,340005
20177,39.818006,-86.134573,340006
20177,39.818018,-86.134577,340007
20177,39.818030,-86.134584,340008
20177,39.818032,-86.134082,340009
20177,39.818034,-86.133347,340010
20177,39.818037,-86.132773,340011
20177,39.818037,-86.132773,350001
20177,39.818037,-86.132614,350002
20177,39.818040,-86.131877,350003
20177,39.818042,-86.131282,350004
20177,39.818042,-86.131282,360001
20177,39.818043,-86.131145,360002
20177,39.818052,-86.129803,360003
20177,39.818052,-86.129803,370001
20177,39.818053,-86.129657,370002
20177,39.818058,-86.128915,370003
20177,39.818063,-86.128173,370004
20177,39.818065,-86.127921,370005
20177,39.818065,-86.127921,380001
20177,39.818072,-86.126946,380002
20177,39.818075,-86.126411,380003
20177,39.818078,-86.125982,380004
20177,39.818078,-86.125982,390001
20177,39.818080,-86.125718,390002
20177,39.818090,-86.124235,390003
20177,39.818090,-86.124235,400001
20177,39.818091,-86.124060,400002
20177,39.818100,-86.122868,400003
20177,39.818108,-86.121672,400004
20177,39.818109,-86.121175,400005
20177,39.818109,-86.121175,410001
20177,39.818112,-86.120260,410002
20177,39.818112,-86.120260,420001
20177,39.818113,-86.120081,420002
20177,39.818116,-86.118938,420003
20177,39.818118,-86.118372,420004
20177,39.818118,-86.118349,420005
20177,39.818118,-86.118349,430001
20177,39.818123,-86.116896,430002
20177,39.818123,-86.116896,440001
20177,39.818123,-86.116716,440002
20177,39.818128,-86.115191,440003
20177,39.818128,-86.115191,450001
20177,39.818128,-86.115061,450002
20177,39.818133,-86.113405,450003
20177,39.818137,-86.112364,450004
20177,39.818137,-86.112364,460001
20177,39.818137,-86.112189,460002
20177,39.818146,-86.109899,460003
20177,39.818147,-86.109737,460004
20177,39.818147,-86.109737,470001
20177,39.818147,-86.109528,470002
20177,39.818151,-86.108548,470003
20177,39.818151,-86.108548,480001
20177,39.818152,-86.108384,480002
20177,39.818155,-86.107572,480003
20177,39.818157,-86.107044,480004
20177,39.818157,-86.107044,490001
20177,39.818157,-86.107044,490002
20177,39.818162,-86.105718,490003
20177,39.818166,-86.104515,490004
20177,39.818166,-86.104515,500001
20177,39.818167,-86.104302,500002
20177,39.818170,-86.103501,500003
20177,39.818173,-86.102877,500004
20177,39.818173,-86.102877,510001
20177,39.818173,-86.102682,510002
20177,39.818187,-86.101412,510003
20177,39.818198,-86.100297,510004
20177,39.818198,-86.100297,520001
20177,39.818199,-86.100163,520002
20177,39.818211,-86.099045,520003
20177,39.818221,-86.098075,520004
20177,39.818221,-86.098075,530001
20177,39.818222,-86.097918,530002
20177,39.818235,-86.096676,530003
20177,39.818248,-86.095356,530004
20177,39.818248,-86.095356,540001
20177,39.818250,-86.095191,540002
20177,39.818253,-86.094915,540003
20177,39.818265,-86.093772,540004
20177,39.818276,-86.092704,540005
20177,39.818276,-86.092704,550001
20177,39.818277,-86.092604,550002
20177,39.818292,-86.091134,550003
20177,39.818299,-86.090403,550004
20177,39.818299,-86.090403,560001
20177,39.818301,-86.090179,560002
20177,39.818314,-86.088957,560003
20177,39.818324,-86.087898,560004
20177,39.818324,-86.087898,570001
20177,39.818326,-86.087733,570002
20177,39.818340,-86.086370,570003
20177,39.818352,-86.085135,570004
20177,39.818352,-86.085135,580001
20177,39.818354,-86.085007,580002
20177,39.818368,-86.083630,580003
20177,39.818367,-86.083191,580004
20177,39.818367,-86.083191,590001
20177,39.818365,-86.081908,590002
20177,39.818363,-86.080354,590003
20177,39.818363,-86.080354,600001
20177,39.818362,-86.080184,600002
20177,39.818360,-86.078900,600003
20177,39.818360,-86.078457,600004
20177,39.818359,-86.077872,600005
20177,39.818359,-86.077872,610001
20177,39.818359,-86.077718,610002
20177,39.818357,-86.076534,610003
20177,39.818351,-86.073316,610004
20177,39.818351,-86.073316,620001
20177,39.818351,-86.072994,620002
20177,39.818347,-86.071818,620003
20177,39.818341,-86.069485,620004
20177,39.818338,-86.067986,620005
20177,39.818338,-86.067986,630001
20177,39.818330,-86.064707,630002
20177,39.818332,-86.064220,630003
20177,39.818332,-86.064220,640001
20177,39.818357,-86.058631,640002
20177,39.818357,-86.058631,650001
20177,39.818373,-86.054950,650002
20177,39.818373,-86.054950,660001
20177,39.818382,-86.052789,660002
20177,39.818382,-86.052789,670001
20177,39.818383,-86.052611,670002
20177,39.818385,-86.052317,670003
20177,39.818389,-86.051200,670004
20177,39.818390,-86.051034,670005
20177,39.818390,-86.051034,680001
20177,39.818410,-86.046427,680002
20177,39.818410,-86.046427,690001
20177,39.818413,-86.045741,690002
20177,39.816683,-86.045721,690003
20177,39.816053,-86.045713,690004
20177,39.816053,-86.045713,700001
20177,39.815858,-86.045711,700002
20177,39.813745,-86.045685,700003
20177,39.813745,-86.045685,710001
20177,39.811675,-86.045660,710002
20177,39.811073,-86.045653,710003
20177,39.810547,-86.045647,710004
20177,39.810547,-86.045647,720001
20177,39.806676,-86.045602,720002
20177,39.805865,-86.045664,720003
20177,39.804765,-86.045648,720004
20177,39.804765,-86.045648,730001
20177,39.803894,-86.045635,730002
20177,39.803732,-86.045567,730003
20177,39.803059,-86.045624,730004
20177,39.803062,-86.044887,730005
20177,39.803807,-86.044875,730006
20177,39.803807,-86.044875,740001
20177,39.803896,-86.044874,740002
20177,39.804654,-86.044864,740003
20177,39.804819,-86.044861,740004
20177,39.805571,-86.044851,740005
20177,39.805554,-86.045164,740006
20177,39.805328,-86.045163,740007
20178,39.766251,-86.154347,10001
20178,39.766255,-86.154500,10002
20178,39.766274,-86.154491,10003
20178,39.766541,-86.154489,10004
20178,39.766570,-86.154480,10005
20178,39.767002,-86.154476,10006
20178,39.767738,-86.154443,10007
20178,39.768439,-86.154421,10008
20178,39.768778,-86.154408,10009
20178,39.768778,-86.154408,20001
20178,39.769139,-86.154394,20002
20178,39.769832,-86.154366,20003
20178,39.770533,-86.154339,20004
20178,39.771044,-86.154318,20005
20178,39.771044,-86.154318,30001
